Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-06-03,1231.2,1294.0,1231.05,1273.0,1275.3,1083673.0,13727.02
2014-06-04,1276.25,1292.0,1245.35,1277.4,1273.55,693190.0,8789.45
2014-06-05,1280.0,1305.0,1261.65,1289.1,1293.8,896206.0,11558.6
2014-06-06,1295.2,1304.2,1273.0,1285.1,1288.45,972762.0,12495.75
2014-06-09,1298.65,1315.0,1286.0,1298.85,1302.6,469522.0,6113.11
2014-06-10,1315.0,1319.2,1281.2,1312.0,1310.9,668424.0,8702.98
2014-06-11,1305.0,1326.95,1282.55,1287.25,1293.3,627697.0,8189.05
2014-06-12,1293.0,1311.0,1283.15,1307.1,1304.35,481621.0,6251.24
2014-06-13,1304.35,1314.65,1250.0,1252.0,1259.45,489427.0,6275.88
2014-06-16,1264.9,1264.9,1224.2,1238.1,1244.55,522148.0,6491.9
2014-06-17,1240.1,1273.95,1229.0,1270.0,1267.4,406044.0,5062.24
2014-06-18,1258.0,1284.4,1216.3,1225.6,1233.35,462277.0,5806.82
2014-06-19,1236.2,1254.9,1223.05,1236.8,1233.25,378176.0,4685.22
2014-06-20,1222.0,1252.95,1215.9,1216.0,1220.3,643820.0,7964.47
2014-06-23,1220.0,1261.4,1213.3,1242.75,1240.55,577773.0,7177.94
2014-06-24,1245.25,1261.15,1241.0,1251.1,1250.85,403085.0,5054.4
2014-06-25,1247.0,1257.85,1230.0,1234.0,1233.65,343939.0,4271.59
2014-06-26,1235.0,1244.0,1217.45,1219.4,1221.9,510030.0,6262.06
2014-06-27,1216.0,1241.9,1216.0,1230.9,1231.4,436444.0,5374.37
2014-06-30,1230.25,1248.0,1225.0,1238.0,1236.8,453484.0,5611.47
2014-07-01,1240.2,1284.75,1240.2,1268.0,1269.5,570160.0,7233.77
2014-07-02,1279.9,1309.0,1278.0,1290.0,1290.5,475229.0,6155.28
2014-07-03,1296.1,1308.0,1280.8,1282.1,1288.85,323594.0,4183.24
2014-07-04,1288.0,1295.1,1256.6,1270.0,1270.75,290399.0,3708.57
2014-07-07,1261.8,1274.9,1226.3,1236.45,1233.5,688077.0,8543.7
2014-07-08,1234.8,1247.65,1175.6,1178.0,1185.7,873096.0,10577.84
2014-07-09,1188.15,1208.9,1174.25,1196.0,1196.1,611374.0,7305.8
2014-07-10,1196.0,1233.9,1154.9,1192.0,1204.65,666284.0,7964.46
2014-07-11,1196.1,1208.65,1128.65,1131.4,1137.65,676706.0,7907.41
2014-07-14,1128.15,1165.0,1125.75,1153.1,1149.3,369311.0,4243.11
2014-07-15,1160.0,1186.0,1158.0,1183.55,1179.9,352317.0,4128.79
2014-07-16,1190.1,1206.85,1181.0,1205.0,1200.9,306747.0,3661.51
2014-07-17,1200.0,1234.0,1185.25,1223.95,1225.7,549097.0,6663.94
2014-07-18,1218.8,1227.0,1206.5,1213.5,1219.45,587445.0,7150.31
2014-07-21,1225.0,1236.75,1192.2,1196.1,1202.9,499286.0,6061.86
2014-07-22,1201.05,1224.9,1193.85,1210.05,1214.1,665076.0,8074.89
2014-07-23,1217.0,1223.65,1181.0,1182.2,1186.3,628339.0,7543.6
2014-07-24,1192.2,1229.6,1175.35,1227.1,1222.35,718618.0,8688.87
2014-07-25,1223.1,1233.0,1160.5,1174.0,1178.95,751601.0,8888.31
2014-07-28,1178.5,1197.0,1166.9,1190.0,1193.25,343578.0,4079.09
2014-07-30,1191.9,1202.35,1161.65,1179.05,1183.25,395992.0,4667.0
2014-07-31,1180.45,1198.65,1174.1,1180.8,1180.35,692056.0,8205.31
2014-08-01,1174.65,1209.8,1145.0,1174.0,1169.4,1141380.0,13448.95
2014-08-04,1186.0,1199.35,1168.3,1181.15,1182.85,536961.0,6342.37
2014-08-05,1185.0,1198.0,1170.1,1191.45,1192.95,366361.0,4341.89
2014-08-06,1183.2,1201.4,1162.0,1168.0,1168.15,397883.0,4703.36
2014-08-07,1170.0,1191.3,1164.0,1177.0,1175.25,411628.0,4852.24
2014-08-08,1165.1,1173.7,1139.1,1151.35,1154.8,649463.0,7504.06
2014-08-11,1165.0,1172.8,1149.25,1158.4,1161.5,407240.0,4722.35
2014-08-12,1165.0,1174.0,1157.1,1169.0,1170.9,373767.0,4363.01
2014-08-13,1165.65,1185.75,1155.0,1175.1,1176.5,766755.0,8979.64
2014-08-14,1172.65,1279.9,1172.65,1270.0,1274.0,1395884.0,17338.34
2014-08-18,1270.0,1292.9,1248.85,1275.1,1275.85,1081084.0,13744.36
2014-08-19,1294.85,1299.5,1272.0,1282.4,1286.05,709836.0,9138.27
2014-08-20,1290.0,1300.0,1270.0,1286.0,1285.05,613514.0,7890.04
2014-08-21,1285.0,1288.25,1260.15,1275.15,1274.35,328941.0,4189.89
2014-08-22,1275.0,1295.0,1272.0,1289.9,1289.75,482079.0,6193.63
2014-08-25,1295.0,1295.0,1232.8,1256.0,1241.95,770799.0,9717.86
2014-08-26,1240.0,1267.65,1235.1,1250.2,1249.9,538084.0,6755.32
2014-08-27,1261.0,1266.0,1244.0,1252.05,1253.8,463568.0,5802.81
2014-08-28,1255.05,1258.0,1235.2,1240.0,1243.6,679699.0,8467.81
2014-09-01,1246.1,1329.9,1188.0,1319.0,1320.95,838752.0,10789.81
2014-09-02,1320.0,1366.5,1295.0,1321.0,1319.85,818969.0,10872.44
2014-09-03,1321.1,1330.6,1283.1,1289.3,1294.3,584022.0,7636.92
2014-09-04,1294.3,1308.2,1270.0,1278.15,1281.45,627715.0,8054.01
2014-09-05,1289.0,1321.0,1280.1,1308.5,1309.5,625658.0,8141.89
2014-09-08,1311.0,1337.95,1305.65,1332.4,1334.1,412257.0,5461.21
2014-09-09,1330.05,1344.25,1313.4,1338.6,1336.65,454296.0,6038.75
2014-09-10,1326.2,1342.0,1317.5,1334.35,1338.45,392329.0,5217.5
2014-09-11,1338.5,1350.0,1325.1,1333.0,1337.6,430396.0,5760.69
2014-09-12,1350.0,1350.0,1323.0,1348.5,1347.05,332219.0,4442.49
2014-09-15,1331.2,1346.6,1327.0,1330.0,1333.25,349053.0,4660.24
